Partito,Voti,p,x
Lega Salvini Premier,9175208,0.3426,16
Partito Democratico,6089853,0.2274,1
Movimento 5 Stelle,4569089,0.1709,8
Forza Italia,2351673,0.0878,13
Fratelli d'Italia,1726189,0.0644,14
+Europa,833443,0.0311,7
Europa verde,621492,0.0282,2
La Sinistra,469943,0.0175,3
Partito Comunista,235542,0.0088,4
Partito Animalista,160270,0.006,5
Il popolo della famiglia,114531,0.0043,12
CasaPound Italia,89142,0.0033,17
Popolari per l'Italia,80553,0.003,11
Partito Pirata,60809,0.0023,9
Forza Nuova,41077,0.0015,18
Autonomie per l'Europa (ApE),17692,0.0007,10
Partito Pensiero e Azione (PPA),5041,0.0002,15
